rentrée;Rentrée universitaire;Niveau géographique;Unité géographique;regroupement;Regroupements de formations ou d’établissements;secteur;Secteur de l’établissement d’inscription;sexe;Sexe de l’étudiant;Nombre total d’étudiants inscrits;A des effectifs en formations de DUT;Nombre d’étudiants inscrits en DUT;A des effectifs en formations d'ingénieurs;Nombre d’étudiants inscrits dans les formations d’Ingénieur;diffusable;Données diffusables;secret;Données soumises au secret statistique;niveau_geo;Identifiant de l’unité géographique
2004;2004-05;Académie;Toulouse;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;2107.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;3285.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;EPEU;Etablissements d'enseignement universitaire privés;PR;Établissements privés;1;Masculin;724.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;INP;Instituts nationaux polytechniques (INP);PU;Établissements publics;2;Feminin;1105.0;non;;oui;777.0;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;INP;Instituts nationaux polytechniques (INP);PU;Établissements publics;1;Masculin;2146.0;non;;oui;1482.0;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;1957.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;46866.0;oui;3784;oui;4897.0;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;53197.0;oui;2028;oui;2025.0;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;6056.0;non;;oui;752.0;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Commune;Toulouse;EC_COM;Ecoles de commerce, gestion et comptabilité;PR;Établissements privés;1;Masculin;1182.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;2;Feminin;23.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;290.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;2;Feminin;952.0;non;;oui;952.0;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;ING_autres;Autres formations d'ingénieurs;PR;Établissements privés;1;Masculin;612.0;non;;oui;612.0;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;UNIV;Universités;PU;Établissements publics;2;Feminin;38556.0;oui;1191;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;1084.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;1012.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;1;Masculin;169.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;1;Masculin;39.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;EPEU;Etablissements d'enseignement universitaire privés;PR;Établissements privés;1;Masculin;724.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;1;Masculin;2383.0;non;;oui;2383.0;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;479.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;46451.0;oui;1191;oui;1455.0;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;36473.0;oui;2307;oui;3685.0;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Unité urbaine;Toulouse;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;2;Feminin;346.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_COM;Ecoles de commerce, gestion et comptabilité;PR;Établissements privés;1;Masculin;1665.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;2245.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;1535.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;37642.0;oui;2663;oui;3865.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;UNIV;Universités;PU;Établissements publics;1;Masculin;28494.0;oui;2663;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Académie;Toulouse;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;1;Masculin;246.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;EC_COM;Ecoles de commerce, gestion et comptabilité;PR;Établissements privés;2;Feminin;1578.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;EC_COM;Ecoles de commerce, gestion et comptabilité;PR;Établissements privés;1;Masculin;1752.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;2;Feminin;90.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Commune;Toulouse;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;1;Masculin;236.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;EC_COM;Ecoles de commerce, gestion et comptabilité;PR;Établissements privés;2;Feminin;1062.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;1;Masculin;127.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;2;Feminin;90.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;2211.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;2;Feminin;826.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;360.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;EPEU;Etablissements d'enseignement universitaire privés;PR;Établissements privés;2;Feminin;1202.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;INP;Instituts nationaux polytechniques (INP);PU;Établissements publics;1;Masculin;1831.0;non;;oui;1302.0;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;1295.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;1112.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;6102.0;non;;oui;233.0;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Académie;Toulouse;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;1270.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;2;Feminin;359.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;524.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;1839.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;EPEU;Etablissements d'enseignement universitaire privés;PR;Établissements privés;2;Feminin;1202.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;2;Feminin;1248.0;non;;oui;1248.0;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;1;Masculin;3415.0;non;;oui;3415.0;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;3979.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;UNIV;Universités;PU;Établissements publics;2;Feminin;40331.0;oui;2028;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Unité urbaine;Toulouse;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;1129.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;1;Masculin;39.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;2;Feminin;952.0;non;;oui;952.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;ING_autres;Autres formations d'ingénieurs;PR;Établissements privés;1;Masculin;752.0;non;;oui;752.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;7652.0;non;;oui;256.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;5472.0;non;;oui;752.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;UNIV;Universités;PU;Établissements publics;2;Feminin;38608.0;oui;1228;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;1;Masculin;418.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;2;Feminin;23.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;2;Feminin;90.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;239.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;1288.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;1;Masculin;2383.0;non;;oui;2383.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;INP;Instituts nationaux polytechniques (INP);PU;Établissements publics;2;Feminin;1105.0;non;;oui;777.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;806.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Commune;Toulouse;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;929.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;239.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;886.0;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Commune;Toulouse;UNIV;Universités;PU;Établissements publics;1;Masculin;28068.0;oui;2307;non;;oui;Données diffusables;non;Autres données;COMMUNE;31555
2004;2004-05;Académie;Toulouse;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;1325.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;2;Feminin;23.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;387.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;314.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;535.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;8317.0;non;;oui;256.0;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;UNIV;Universités;PU;Établissements publics;1;Masculin;33124.0;oui;3784;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
